  name            status  full name                                                                     parent          year    company         hardware        remarks
+---------------+-------+-----------------------------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 1941          |       | 1941 - Counter Attack (World)                                               |               | 1990  | Capcom        | CPS1          |                                       |
| kf10thep      |       | The King of Fighters 10th Anniversary Extra Plus (bootleg)                  | kof10th       | 2005  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2002 |
| kf2k2mp2      |       | The King of Fighters 2002 Magic Plus II (bootleg)                           | kf2k2mp       | 2002  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2002 |
| kf2k2mp       |       | The King of Fighters 2002 Magic Plus (bootleg)                              | kof2002       | 2002  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2002 |
| kf2k2pla      |       | The King of Fighters 2002 Plus (bootleg, set 2)                             | kf2k2pls      | 2002  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2002 |
| kf2k2pls      |       | The King of Fighters 2002 Plus (bootleg, set 1)                             | kof2002       | 2002  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2002 |
| kf2k3bla      |       | The King of Fighters 2003 (bootleg, set 2)                                  | kof2003       | 2003  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2003 |
| kf2k3bl       |       | The King of Fighters 2003 (bootleg, set 1)                                  | kof2003       | 2003  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2003 |
| kf2k3pcb      |       | The King of Fighters 2003 (Japan, JAMMA PCB)                                |               | 2003  | SNK Playmore  | Neo Geo       |                                       |
| kf2k3pl       |       | The King of Fighters 2004 Plus / Hero (bootleg)                             | kof2003       | 2003  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2003 |
| kf2k3upl      |       | The King of Fighters 2004 Ultra Plus (bootleg)                              | kf2k3pl       | 2003  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2003 |
| kf2k5uni      |       | The King of Fighters 10th Anniversary 2005 Unique (bootleg)                 | kof10th       | 2004  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2002 |
| killbld       |       | The Killing Blade                                                           |               | 1998  | IGS           | PGM           |                                       |
| killbldt      |       | The Killing Blade (Chinese Board)                                           | killbld       | 1998  | IGS           | PGM           |                                       |
| kingdmgp      |       | Kingdom Grandprix (World)                                                   | shippumd      | 1994  | Raizing / 8in | Toaplan GP900 |                                       |
| kizuna        |       | Kizuna Encounter - super tag battle                                         |               | 1996  | SNK           | Neo Geo       |                                       |
| knightsj      |       | Knights of the Round (911127 Japan)                                         | knights       | 1991  | Capcom        | CPS1          |                                       |
| knights       |       | Knights of the Round (911127 etc)                                           |               | 1991  | Capcom        | CPS1          |                                       |
| knightsu      |       | Knights of the Round (911127 USA)                                           | knights       | 1991  | Capcom        | CPS1          |                                       |
| kodj          |       | The King of Dragons (Japan 910805)                                          | kod           | 1991  | Capcom        | CPS1          |                                       |
| kod           |       | The King of Dragons (910711 etc)                                            |               | 1991  | Capcom        | CPS1          |                                       |
| kodu          |       | The King of Dragons (US 910910)                                             | kod           | 1991  | Capcom        | CPS1          |                                       |
| kof10th       |       | The King of Fighters 10th Anniversary (bootleg)                             | kof2002       | 2002  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2002 |
| kof2000n      |       | The King of Fighters 2000 (not encrypted)                                   | kof2000       | 2000  | SNK           | Neo Geo       |                                       |
| kof2000       |       | The King of Fighters 2000                                                   |               | 2000  | SNK           | Neo Geo       |                                       |
| kof2001h      |       | The King of Fighters 2001 (set 2)                                           | kof2001       | 2001  | SNK / Eolith  | Neo Geo       |                                       |
| kof2001       |       | The King of Fighters 2001 (set 1)                                           |               | 2001  | SNK / Eolith  | Neo Geo       |                                       |
| kof2002       |       | The King of Fighters 2002 - challenge to ultimate battle                    |               | 2002  | Eolith / Play | Neo Geo       |                                       |
| kof2003       |       | The King of Fighters 2003 (MVS)                                             |               | 2003  | SNK Playmore  | Neo Geo       |                                       |
| kof2k4se      |       | The King of Fighters Special Edition 2004 (bootleg)                         | kof2002       | 2004  | bootleg       | Neo Geo       | bootleg of "The King of Fighters 2002 |
| kof94         |       | The King of Fighters '94                                                    |               | 1994  | SNK           | Neo Geo       |                                       |
| kof95a        |       | The King of Fighters '95 (set 2)                                            | kof95         | 1995  | SNK           | Neo Geo       |                                       |
| kof95         |       | The King of Fighters '95 (set 1)                                            |               | 1995  | SNK           | Neo Geo       |                                       |
| kof96h        |       | The King of Fighters '96 (set 2)                                            | kof96         | 1996  | SNK           | Neo Geo       |                                       |
| kof96         |       | The King of Fighters '96 (set 1)                                            |               | 1996  | SNK           | Neo Geo       |                                       |
| kof97a        |       | The King of Fighters '97 (set 2)                                            | kof97         | 1997  | SNK           | Neo Geo       |                                       |
| kof97pls      |       | The King of Fighters '97 Plus (bootleg)                                     | kof97         | 1997  | bootleg       | Neo Geo       | bootleg of "The King of Fighters '97" |
| kof97         |       | The King of Fighters '97 (set 1)                                            |               | 1997  | SNK           | Neo Geo       |                                       |
| kof98k        |       | The King of Fighters '98 - the slugfest (korean release)                    | kof98         | 1998  | SNK           | Neo Geo       |                                       |
| kof98n        |       | The King of Fighters '98 - the slugfest (not encrypted)                     | kof98         | 1998  | SNK           | Neo Geo       |                                       |
| kof98         |       | The King of Fighters '98 - the slugfest                                     |               | 1998  | SNK           | Neo Geo       |                                       |
| kof99a        |       | The King of Fighters '99 - millennium battle (set 2)                        | kof99         | 1999  | SNK           | Neo Geo       |                                       |
| kof99e        |       | The King of Fighters '99 - millennium battle (earlier)                      | kof99         | 1999  | SNK           | Neo Geo       |                                       |
| kof99n        |       | The King of Fighters '99 - millennium battle (not encrypted)                | kof99         | 1999  | SNK           | Neo Geo       |                                       |
| kof99p        |       | The King of Fighters '99 - millennium battle (prototype)                    | kof99         | 1999  | SNK           | Neo Geo       |                                       |
| kof99         |       | The King of Fighters '99 - millennium battle (set 1)                        |               | 1999  | SNK           | Neo Geo       |                                       |
| kog           |       | King of Gladiator (bootleg)                                                 | kof97         | 1997  | bootleg       | Neo Geo       | bootleg of "The King of Fighters '97" |
| kotm2         |       | King of the Monsters 2 - the next thing                                     |               | 1992  | SNK           | Neo Geo       |                                       |
| kotmh         |       | King of the Monsters (set 2)                                                | kotm          | 1991  | SNK           | Neo Geo       |                                       |
| kotm          |       | King of the Monsters (set 1)                                                |               | 1991  | SNK           | Neo Geo       |                                       |
| kov115        |       | Knights of Valour                                                           | kov           | 1999  | IGS           | PGM           |                                       |
| kovj          |       | Knights of Valour                                                           | kov           | 1999  | IGS           | PGM           |                                       |
| kov           |       | Knights of Valour                                                           |               | 1999  | IGS           | PGM           |                                       |
| kovplusa      |       | Knights of Valour Plus                                                      | kov           | 1999  | IGS           | PGM           |                                       |
| kovplus       |       | Knights of Valour Plus                                                      | kov           | 1999  | IGS           | PGM           |                                       |
| lans2004      |       | Lansquenet 2004 (bootleg)                                                   | shocktr2      | 1998  | bootleg       | Neo Geo       | bootleg of "Shock Troopers - 2nd squa |
| lastblad      |       | The Last Blade (set 1)                                                      |               | 1997  | SNK           | Neo Geo       |                                       |
| lastbld2      |       | The Last Blade 2                                                            |               | 1998  | SNK           | Neo Geo       |                                       |
| lastbldh      |       | The Last Blade (set 2)                                                      | lastblad      | 1997  | SNK           | Neo Geo       |                                       |
| lastsold      |       | The Last Soldier                                                            | lastblad      | 1997  | SNK           | Neo Geo       | Korean version of "The Last Blade"    |
| lbowling      |       | League Bowling                                                              |               | 1990  | SNK           | Neo Geo       |                                       |
| legendos      |       | Legend of Success Joe                                                       |               | 1991  | SNK           | Neo Geo       |                                       |
| lostwrld      |       | Lost Worlds (Japan)                                                         | forgottn      | 1988  | Capcom        | CPS1          |                                       |
| lresort       |       | Last Resort                                                                 |               | 1992  | SNK           | Neo Geo       |                                       |
| magdrop2      |       | Magical Drop II                                                             |               | 1996  | Data East Cor | Neo Geo       |                                       |
| magdrop3      |       | Magical Drop III                                                            |               | 1997  | Data East Cor | Neo Geo       |                                       |
| maglordh      |       | Magician Lord (set 2)                                                       | maglord       | 1990  | Alpha Denshi  | Neo Geo       |                                       |
| maglord       |       | Magician Lord (set 1)                                                       |               | 1990  | Alpha Denshi  | Neo Geo       |                                       |
| mahoudai      |       | Mahou Daisakusen (Japan)                                                    |               | 1993  | Raizing       | Toaplan GP900 |                                       |
| mahretsu      |       | Mahjong Kyoretsuden - real mah-jong game                                    |               | 1990  | SNK           | Neo Geo       |                                       |
| marukodq      |       | Chibi Marukochan Deluxe Quiz                                                |               | 1995  | Takara        | Neo Geo       |                                       |
| matrim        |       | Shin gouketsuzi ichizoku - Toukon                                           |               | 2002  | Playmore / No | Neo Geo       |                                       |
| mazinger      |       | Mazinger Z (International/Japan)                                            |               | 1994  | Banpresto/Dyn | Cave          |                                       |
| mbomberj      |       | Muscle Bomber - the body explosion (930713 Japan)                           | slammast      | 1993  | Capcom        | CPS1          |                                       |
| mbombrdj      |       | Muscle Bomber Duo - heat up warriors (931206 Japan)                         | slammast      | 1993  | Capcom        | CPS1          |                                       |
| mbombrd       |       | Muscle Bomber Duo - ultimate team battle (931206 etc)                       | slammast      | 1993  | Capcom        | CPS1          |                                       |
| mchampda      |       | Multi Champ Deluxe (ver. 1126, 26/11/1999)                                  | mchampdx      | 1999  | ESD           | Miscellaneous |                                       |
| mchampdx      |       | Multi Champ Deluxe (ver. 0106, 06/01/2000)                                  |               | 2000  | ESD           | Miscellaneous |                                       |
| megaman2      |       | Mega Man 2 - the power fighters (960708 USA)                                |               | 1996  | Capcom        | CPS2          |                                       |
| megaman       |       | Mega Man - the power battle (951006 Asia)                                   |               | 1995  | Capcom        | CPS1          |                                       |
| megamn2a      |       | Mega Man 2 - the power fighters (960708 Asia)                               | megaman2      | 1996  | Capcom        | CPS2          |                                       |
| mercsj        |       | Senjo no Ookami II (Ookami 2 900302 Japan)                                  | mercs         | 1990  | Capcom        | CPS1          |                                       |
| mercs         |       | Mercs (900302 etc)                                                          |               | 1990  | Capcom        | CPS1          |                                       |
| mercsua       |       | Mercs (900608 USA)                                                          | mercs         | 1990  | Capcom        | CPS1          |                                       |
| mercsu        |       | Mercs (900302 USA)                                                          | mercs         | 1990  | Capcom        | CPS1          |                                       |
| metlsavr      |       | Metal Saver                                                                 |               | 1994  | First Amuseme | Miscellaneous |                                       |
| metmqstr      |       | Metamoqester (International)                                                |               | 1995  | Banpresto/Pan | Cave          |                                       |
| mgcrystj      |       | Magical Crystals (Japan, 92/01/13)                                          | mgcrystl      | 1991  | Kaneko (Atlus | Kaneko 16-bit |                                       |
| mgcrystl      |       | Magical Crystals (World, 92/01/10)                                          |               | 1991  | Kaneko        | Kaneko 16-bit |                                       |
| mgcrysto      |       | Magical Crystals (World, 91/12/10)                                          | mgcrystl      | 1991  | Kaneko        | Kaneko 16-bit |                                       |
| miexchng      |       | Money Puzzle Exchanger                                                      |               | 1997  | Face          | Neo Geo       |                                       |
| minasan       |       | Minnasanno Okagesamadesu                                                    |               | 1990  | Monolith Corp | Neo Geo       |                                       |
| missmw96      |       | Miss Mister World '96 (Nude)                                                | missw96       | 1996  | Comad         | Miscellaneous |                                       |
| missw96       |       | Miss World '96 (Nude)                                                       |               | 1996  | Comad         | Miscellaneous |                                       |
| mmatrixj      |       | Mars Matrix (000412 Japan)                                                  | mmatrix       | 2000  | Capcom / Taku | CPS2          |                                       |
| mmatrix       |       | Mars Matrix (000412 USA)                                                    |               | 2000  | Capcom / Taku | CPS2          |                                       |
| moremore      |       | More More                                                                   |               | 1999  | SemiCom / Exi | Kaneko Pandor |                                       |
| moremorp      |       | More More Plus                                                              |               | 1999  | SemiCom / Exi | Kaneko Pandor |                                       |
| mosyougi      |       | Syougi No Tatsujin - master of syougi                                       |               | 1990  | ADK / SNK     | Neo Geo       |                                       |
| mpangj        |       | Mighty! Pang (001011 Japan)                                                 | mpang         | 2000  | Mitchell      | CPS2          |                                       |
| mpang         |       | Mighty! Pang (001010 USA)                                                   |               | 2000  | Mitchell      | CPS2          |                                       |
| ms4plus       |       | Metal Slug 4 Plus (bootleg)                                                 | mslug4        | 2002  | bootleg       | Neo Geo       | bootleg of "Metal Slug 4"             |
| ms5pcb        |       | Metal Slug 5 (JAMMA PCB)                                                    |               | 2003  | SNK Playmore  | Neo Geo       |                                       |
| ms5plus       |       | Metal Slug 5 Plus (bootleg)                                                 | mslug5        | 2003  | bootleg       | Neo Geo       | bootleg of "Metal Slug 5"             |
| msha          |       | Marvel Super Heroes (951024 Asia)                                           | msh           | 1995  | Capcom        | CPS2          |                                       |
| mshb          |       | Marvel Super Heroes (951117 Brazil)                                         | msh           | 1995  | Capcom        | CPS2          |                                       |
| mshh          |       | Marvel Super Heroes (951117 Hispanic)                                       | msh           | 1995  | Capcom        | CPS2          |                                       |
| mshj          |       | Marvel Super Heroes (951117 Japan)                                          | msh           | 1995  | Capcom        | CPS2          |                                       |
| mshjr1        |       | Marvel Super Heroes (951024 Japan)                                          | msh           | 1995  | Capcom        | CPS2          |                                       |
| msh           |       | Marvel Super Heroes (951024 Euro)                                           |               | 1995  | Capcom        | CPS2          |                                       |
| mshu          |       | Marvel Super Heroes (951024 USA)                                            | msh           | 1995  | Capcom        | CPS2          |                                       |
| mshvsfa1      |       | Marvel Super Heroes vs Street Fighter (970620 Asia)                         | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsfa       |       | Marvel Super Heroes vs Street Fighter (970625 Asia)                         | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsfb1      |       | Marvel Super Heroes vs Street Fighter (970625 Brazil)                       | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsfb       |       | Marvel Super Heroes vs Street Fighter (970827 Brazil)                       | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsfh       |       | Marvel Super Heroes vs Street Fighter (970625 Hispanic)                     | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsfj1      |       | Marvel Super Heroes vs Street Fighter (970702 Japan)                        | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsfj2      |       | Marvel Super Heroes vs Street Fighter (970625 Japan)                        | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsfj       |       | Marvel Super Heroes vs Street Fighter (970707 Japan)                        | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsf        |       | Marvel Super Heroes vs Street Fighter (970625 Euro)                         |               | 1997  | Capcom        | CPS2          |                                       |
| mshvsfu1      |       | Marvel Super Heroes vs Street Fighter (970625 USA)                          | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mshvsfu       |       | Marvel Super Heroes vs Street Fighter (970827 USA)                          | mshvsf        | 1997  | Capcom        | CPS2          |                                       |
| mslug2        |       | Metal Slug 2 - super vehicle-001/II                                         |               | 1998  | SNK           | Neo Geo       |                                       |
| mslug3b6      |       | Metal Slug 6                                                                | mslug3        | 2000  | bootleg       | Neo Geo       | bootleg of "Metal Slug 3"             |
| mslug3        |       | Metal Slug 3                                                                |               | 2000  | SNK           | Neo Geo       |                                       |
| mslug3n       |       | Metal Slug 3 (not encrypted)                                                | mslug3        | 2000  | SNK           | Neo Geo       |                                       |
| mslug4        |       | Metal Slug 4                                                                |               | 2002  | Playmore Corp | Neo Geo       |                                       |
| mslug5        |       | Metal Slug 5                                                                |               | 2003  | SNK Playmore  | Neo Geo       |                                       |
| mslug         |       | Metal Slug - super vehicle-001                                              |               | 1996  | Nazca         | Neo Geo       |                                       |
| mslugx        |       | Metal Slug X - super vehicle-001                                            |               | 1999  | SNK           | Neo Geo       |                                       |
| mswordj       |       | Magic Sword (23.06.1990 Japan)                                              | msword        | 1990  | Capcom        | CPS1          |                                       |
| msword        |       | Magic Sword - heroic fantasy (25.07.1990 other country)                     |               | 1990  | Capcom        | CPS1          |                                       |
| mswordr1      |       | Magic Sword - heroic fantasy (90.06.23 other country)                       | msword        | 1990  | Capcom        | CPS1          |                                       |
| mswordu       |       | Magic Sword - heroic fantasy (25.07.1990 USA)                               | msword        | 1990  | Capcom        | CPS1          |                                       |
| mtwins        |       | Mega Twins (chiki chiki boys 900619 etc)                                    |               | 1990  | Capcom        | CPS1          |                                       |
| multchmk      |       | Multi Champ (Korea)                                                         | multchmp      | 1999  | ESD           | Miscellaneous |                                       |
| multchmp      |       | Multi Champ (World)                                                         |               | 1999  | ESD           | Miscellaneous |                                       |
| mutnat        |       | Mutation Nation                                                             |               | 1992  | SNK           | Neo Geo       |                                       |
| mvsca         |       | Marvel vs Capcom - clash of super heroes (980123 Asia)                      | mvsc          | 1998  | Capcom        | CPS2          |                                       |
| mvscar1       |       | Marvel vs Capcom - clash of super heroes (980112 Asia)                      | mvsc          | 1998  | Capcom        | CPS2          |                                       |
| mvscb         |       | Marvel vs Capcom - clash of super heroes (980123 Brazil)                    | mvsc          | 1998  | Capcom        | CPS2          |                                       |
| mvsch         |       | Marvel vs Capcom - clash of super heroes (980123 Hispanic)                  | mvsc          | 1998  | Capcom        | CPS2          |                                       |
| mvscj         |       | Marvel vs Capcom - clash of super heroes (980123 Japan)                     | mvsc          | 1998  | Capcom        | CPS2          |                                       |
| mvscjr1       |       | Marvel vs Capcom - clash of super heroes (980112 Japan)                     | mvsc          | 1998  | Capcom        | CPS2          |                                       |
| mvsc          |       | Marvel vs Capcom - clash of super heroes (980112 Euro)                      |               | 1998  | Capcom        | CPS2          |                                       |
| mvscu         |       | Marvel vs Capcom - clash of super heroes (980123 USA)                       | mvsc          | 1998  | Capcom        | CPS2          |                                       |
| nam1975       |       | NAM - 1975                                                                  |               | 1990  | SNK           | Neo Geo       |                                       |
| naname        |       | Naname de Magic!                                                            |               | 1994  | Atlus         | Miscellaneous |                                       |
| ncombata      |       | Ninja Combat (set 2)                                                        | ncombat       | 1990  | Alpha Denshi  | Neo Geo       |                                       |
| ncombat       |       | Ninja Combat (set 1)                                                        |               | 1990  | Alpha Denshi  | Neo Geo       |                                       |
| ncommand      |       | Ninja Commando                                                              |               | 1992  | Alpha Denshi  | Neo Geo       |                                       |
| nemoj         |       | Nemo (90 11 20 Japan)                                                       | nemo          | 1990  | Capcom        | CPS1          |                                       |
| nemo          |       | Nemo (90 11 30 etc)                                                         |               | 1990  | Capcom        | CPS1          |                                       |
| neobombe      |       | Neo Bomberman                                                               |               | 1997  | Hudson Soft   | Neo Geo       |                                       |
| neocup98      |       | Neo-Geo Cup '98 - the road to the victory                                   |               | 1998  | SNK           | Neo Geo       |                                       |
| neodrift      |       | Neo Drift Out - new technology                                              |               | 1996  | Visco         | Neo Geo       |                                       |
| neogeo        |       | Neo Geo                                                                     |               | 1990  | SNK           | Neo Geo       | BIOS only                             |
| neomrdo       |       | Neo Mr. Do!                                                                 |               | 1996  | Visco         | Neo Geo       |                                       |
| newfant       |       | New Fantasia                                                                |               | 1995  | Comad / New J | Miscellaneous |                                       |
| newsa         |       | News (set 2)                                                                | news          | 1993  | Poby / Jeanso | Miscellaneous |                                       |
| news          |       | News (set 1)                                                                |               | 1993  | Poby / Virus  | Miscellaneous |                                       |
| ninjamas      |       | Ninja Master's haoh ninpo cho                                               |               | 1996  | ADK / SNK     | Neo Geo       |                                       |
| nitd          |       | Nightmare in the Dark                                                       |               | 2000  | Eleven / Gava | Neo Geo       |                                       |
| nmaster       |       | Oni - The Ninja Master (Japan)                                              | metmqstr      | 1995  | Banpresto/Pan | Cave          |                                       |
| nwarrb        |       | Night Warriors - darkstalkers' revenge (950403 Brazil)                      | nwarr         | 1995  | Capcom        | CPS2          |                                       |
| nwarrh        |       | Night Warriors - darkstalkers' revenge (950403 Hispanic)                    | nwarr         | 1995  | Capcom        | CPS2          |                                       |
| nwarr         |       | Night Warriors - darkstalkers' revenge (950316 Euro)                        |               | 1995  | Capcom        | CPS2          |                                       |
| nwarru        |       | Night Warriors - darkstalkers' revenge (950406 USA)                         | nwarr         | 1995  | Capcom        | CPS2          |                                       |
| ohmygod       |       | Oh My God!                                                                  |               | 1993  | Atlus         | Miscellaneous |                                       |
| orld105k      |       | Oriental Legend (ver. 105, Korean Board)                                    | orlegend      | 1997  | IGS           | PGM           |                                       |
| orld111c      |       | Oriental Legend                                                             | orlegend      | 1997  | IGS           | PGM           |                                       |
| orlegend      |       | Oriental Legend (ver. 126)                                                  |               | 1997  | IGS           | PGM           |                                       |
| orlegndc      |       | Oriental Legend                                                             | orlegend      | 1997  | IGS           | PGM           |                                       |
| orlegnde      |       | Oriental Legend (ver. 112)                                                  | orlegend      | 1997  | IGS           | PGM           |                                       |
| outzonea      |       | Out Zone (set 2)                                                            | outzone       | 1990  | Toaplan       | Toaplan BCU-2 |                                       |
| outzoneb      |       | Out Zone (set 3, prototype?)                                                | outzone       | 1990  | Toaplan       | Toaplan BCU-2 |                                       |
| outzonec      |       | Out Zone (set 4)                                                            | outzone       | 1990  | Toaplan       | Toaplan BCU-2 |                                       |
| outzone       |       | Out Zone (set 1)                                                            |               | 1990  | Toaplan       | Toaplan BCU-2 |                                       |
| overtop       |       | OverTop                                                                     |               | 1996  | ADK           | Neo Geo       |                                       |
| pang3j        |       | Pang! 3 (950511 Japan)                                                      | pang3         | 1995  | Mitchell      | CPS1          |                                       |
| pang3         |       | Pang! 3 (950511 Euro)                                                       |               | 1995  | Mitchell      | CPS1          |                                       |
| pangpang      |       | Pang Pang                                                                   |               | 1994  | Dong Gue La M | Miscellaneous |                                       |
| panicbom      |       | Panic Bomber                                                                |               | 1994  | Hudson Soft   | Neo Geo       |                                       |
| pbobbl2n      |       | Puzzle Bobble 2                                                             |               | 1999  | Taito         | Neo Geo       |                                       |
| pbobblen      |       | Puzzle Bobble (set 1)                                                       |               | 1994  | Taito         | Neo Geo       |                                       |
| pbobblna      |       | Puzzle Bobble (set 2)                                                       | pbobblen      | 1994  | Taito         | Neo Geo       |                                       |
| pfghtj        |       | Pocket Fighter (970904 Japan)                                               | sgemf         | 1997  | Capcom        | CPS2          |                                       |
| pgear         |       | Powered Gear - strategic variant armor equipment (941024 Japan)             | armwar        | 1994  | Capcom        | CPS2          |                                       |
| pgearr1       |       | Powered Gear - strategic variant armor equipment (940916 Japan)             | armwar        | 1994  | Capcom        | CPS2          |                                       |
| pgm           |       | PGM (Polygame Master) System BIOS                                           |               | 1997  | IGS           | PGM           | BIOS only                             |
| pgoal         |       | Pleasure Goal - 5 on 5 mini soccer                                          |               | 1996  | Saurus        | Neo Geo       |                                       |
| photoy2k      |       | Photo Y2K                                                                   |               | 1999  | IGS           | PGM           |                                       |
| plegendj      |       | Gouketsuji Ichizoku Saikyou Densetsu (Japan, Ver. 95/06/20)                 | plegends      | 1995  | Atlus/Cave    | Cave          |                                       |
| plegends      |       | Power Instinct Legends (US, Ver. 95/06/20)                                  |               | 1995  | Atlus/Cave    | Cave          |                                       |
| pnickj        |       | Pnickies (940608 Japan)                                                     |               | 1994  | Compile (Capc | CPS1          |                                       |
| pnyaa         |       | Pochi and Nyaa                                                              |               | 2003  | Aiky / Taito  | Neo Geo       |                                       |
| popbounc      |       | Pop 'n Bounce                                                               |               | 1997  | Video System  | Neo Geo       |                                       |
| powerina      |       | Power Instinct (USA, bootleg set 1)                                         | powerins      | 1993  | Atlus         | Miscellaneous |                                       |
| powerinb      |       | Power Instinct (USA, bootleg set 2)                                         | powerins      | 1993  | Atlus         | Miscellaneous |                                       |
| powerins      |       | Gouketsuji Ichizoku (Japan)                                                 |               | 1993  | Atlus         | Miscellaneous |                                       |
| preisle2      |       | Prehistoric Isle 2                                                          |               | 1999  | Yumekobo / Sa | Neo Geo       |                                       |
| progeara      |       | Progear (010117 Asia)                                                       | progear       | 2001  | Capcom / Cave | CPS2          |                                       |
| progearj      |       | Progear No Arashi (010117 Japan)                                            | progear       | 2001  | Capcom / Cave | CPS2          |                                       |
| progear       |       | Progear (010117 USA)                                                        |               | 2001  | Capcom / Cave | CPS2          |                                       |
| pspikes2      |       | Power Spikes II                                                             |               | 1994  | Video System  | Neo Geo       |                                       |
| pulstar       |       | Pulstar                                                                     |               | 1995  | Aicom         | Neo Geo       |                                       |
| punisher      |       | The Punisher (930422 etc)                                                   |               | 1993  | Capcom        | CPS1 / QSound |                                       |
| punishrj      |       | The Punisher (930422 Japan)                                                 | punisher      | 1993  | Capcom        | CPS1 / QSound |                                       |
| punishru      |       | The Punisher (930422 USA)                                                   | punisher      | 1993  | Capcom        | CPS1 / QSound |                                       |
| puzlstar      |       | Puzzle Star                                                                 |               | 1999  | IGS           | PGM           |                                       |
| puzzldpr      |       | Puzzle De Pon R                                                             | puzzledp      | 1997  | Taito (Visco  | Neo Geo       |                                       |
| puzzledp      |       | Puzzle De Pon                                                               |               | 1995  | Taito (Visco  | Neo Geo       |                                       |
| pwrins2j      |       | Gouketsuji Ichizoku 2 (Japan, Ver. 94/04/08)                                | pwrinst2      | 1994  | Atlus/Cave    | Cave          |                                       |
| pwrinst2      |       | Power Instinct 2 (US, Ver. 94/04/08)                                        |               | 1994  | Atlus/Cave    | Cave          | Bad Music from first MSM6295          |
| pzloop2j      |       | Puzz Loop 2 (010205 Japan)                                                  | pzloop2       | 2001  | Mitchell, dis | CPS2          |                                       |
| pzloop2       |       | Puzz Loop 2 (010302 Euro)                                                   |               | 2001  | Mitchell, dis | CPS2          |                                       |
| qadj          |       | Quiz & Dragons (940921 Japan)                                               | qad           | 1992  | Capcom        | CPS1          |                                       |
| qad           |       | Quiz & Dragons (capcom quiz game 920701 USA)                                |               | 1992  | Capcom        | CPS1          |                                       |
| qndream       |       | Quiz Nanairo Dreams - nijiirochou no kiseki (nanairo dreams 960826 Japan)   |               | 1996  | Capcom        | CPS2          |                                       |
| qtono2        |       | Quiz Tonosama no Yabou 2 Zenkoku-ban (tonosama 2 950123 Japan)              |               | 1995  | Capcom        | CPS1          |                                       |
| quizdai2      |       | Quiz Meintantei Neo Geo - quiz daisousa sen part 2                          |               | 1992  | SNK           | Neo Geo       |                                       |
| quizdais      |       | Quiz Daisousa Sen - the last count down                                     |               | 1991  | SNK           | Neo Geo       |                                       |
| quizkof       |       | Quiz King of Fighters                                                       |               | 1995  | Saurus        | Neo Geo       |                                       |
| raf102j       |       | Real and Fake / Photo Y2K (ver. 102, Japan Board)                           | photoy2k      | 1999  | IGS           | PGM           |                                       |
| ragnagrd      |       | Operation Ragnagard                                                         |               | 1996  | Saurus        | Neo Geo       |                                       |
| raiga         |       | Raiga - Strato Fighter (Japan)                                              | stratof       | 1991  | Tecmo         | Miscellaneous |                                       |
| rainbowe      |       | Rainbow Islands (Extra)                                                     | rainbow       | 1988  | Taito         | Custom Taito  |                                       |
| rainbowo      |       | Rainbow Islands (old version)                                               | rainbow       | 1987  | Taito         | Custom Taito  |                                       |
| rainbow       |       | Rainbow Islands (new version)                                               |               | 1987  | Taito         | Custom Taito  |                                       |
| rbff1         |       | Real Bout Fatal Fury                                                        |               | 1995  | SNK           | Neo Geo       |                                       |
| rbff2h        |       | Real Bout Fatal Fury 2 - the newcomers (set 2)                              | rbff2         | 1998  | SNK           | Neo Geo       |                                       |
| rbff2k        |       | Real Bout Fatal Fury 2 - the newcomers (Korean Release)                     | rbff2         | 1998  | SNK           | Neo Geo       |                                       |
| rbff2         |       | Real Bout Fatal Fury 2 - the newcomers (set 1)                              |               | 1998  | SNK           | Neo Geo       |                                       |
| rbffspec      |       | Real Bout Fatal Fury Special                                                |               | 1996  | SNK           | Neo Geo       |                                       |
| rckman2j      |       | Rockman 2 - the power fighters (960708 Japan)                               | megaman2      | 1996  | Capcom        | CPS2          |                                       |
| ridheroh      |       | Riding Hero (set 2)                                                         | ridhero       | 1990  | SNK           | Neo Geo       |                                       |
| ridhero       |       | Riding Hero (set 1)                                                         |               | 1990  | SNK           | Neo Geo       |                                       |
